Website,Status,Error,Message
https://g.doubleclick.net,,DNSLookupError,
https://api-global.netflix.com,404,HttpError,
https://www.google.com,200,,
https://googleads.g.doubleclick.net,404,HttpError,
https://clients4.google.com,404,HttpError,
https://www.google.com/analytics/,200,,
https://www.google.com/,200,,
https://safebrowsing.googleapis.com,404,HttpError,
https://www.googleapis.com,404,HttpError,
https://hola.org,200,,
https://www.facebook.com,200,,
https://googleusercontent.com,,DNSLookupError,
https://www.netflix.com/,200,,
https://www.doubleclickbygoogle.com/,200,,
https://www.facebook.com/,200,,
https://googleadservices.com,404,HttpError,
https://www.google.com/analytics/,200,,
https://www.googleadservices.com,404,HttpError,
https://googlesyndication.com,404,HttpError,
https://fonts.googleapis.com,404,HttpError,
https://www.microsoft.com/en-us/,200,,
https://graph.facebook.com,400,HttpError,
https://xx.fbcdn.net,,DNSLookupError,
https://clientservices.googleapis.com,404,HttpError,
https://www.apple.com/,200,,
https://ytimg.com,,DNSLookupError,
https://pagead2.googlesyndication.com,404,HttpError,
https://clients1.google.com,404,HttpError,
https://www.facebook.com/,200,,
https://settings-win.data.microsoft.com,404,HttpError,
https://facebook.net,,DNSLookupError,
https://outlook.live.com/owa/,200,,
https://ichnaea.netflix.com,405,HttpError,
https://akamaiedge.net,,DNSLookupError,
https://apis.google.com,404,HttpError,
https://amazonaws.com,,Other,<twisted.python.failure.Failure twisted.internet.error.ConnectionRefusedError: Connection was refused by other side: 61: Connection refused.>
https://login.microsoftonline.com/72f988bf-86f1-41af-91ab-2d7cd011db47/oauth2/authorize?client_id=c051d0c1-22ad-487e-97d9-186ad6ec879c&response_mode=form_post&response_type=code+id_token&scope=openid+profile&state=OpenIdConnect.AuthenticationProperties%3d3OlqvHA6hNT_cQMzHLUEvjvT2dM5HvaPZXakqP9qsPBVWD5tEdVlXUstnlAKDjcoTQhhZHBUqjS_sBNf6iiPUDSZUq8BexRVHqPVpLbJt72k08je9Mr0JOIFkCIEk3Ny&nonce=636458506985334941.OGFhNTQ5MDAtOTViZi00MTE5LWJiMTgtYTA1MDNlZDg3MGUwNTZkNzNiNTgtZGQzZC00M2JmLTkwYWUtOTIyYzUzZmQ5N2E5,200,,
https://akadns.net,,DNSLookupError,
https://adservice.google.com,404,HttpError,
https://www.bing.com/,200,,
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount&followup=https%3A%2F%2Faccounts.google.com%2FManageAccount,200,,
https://i.ytimg.com,404,HttpError,
https://www.facebook.com/,200,,
https://www.apple.com,200,,
https://www.youtube.com/,200,,
https://securepubads.g.doubleclick.net,404,HttpError,
https://com.akadns.net,,DNSLookupError,
https://www.google.com/analytics/,200,,
https://tpc.googlesyndication.com,404,HttpError,
https://lh3.googleusercontent.com,404,HttpError,
https://clients.google.com,,DNSLookupError,
https://twitter.com,200,,
https://play.google.com/store,200,,
https://www.yahoo.com/,200,,
https://adnxs.com,,DNSLookupError,
https://www.doubleclickbygoogle.com/,200,,
https://www.youtube.com,200,,
https://vortex-win.data.microsoft.com,404,HttpError,
https://play.googleapis.com,404,HttpError,
https://ggpht.com,,DNSLookupError,
https://push.apple.com,,DNSLookupError,
https://www.google.com/analytics/,200,,
https://www.icloud.com/,200,,
https://l.google.com,,DNSLookupError,
https://www.scorecardresearch.com/home.aspx,200,,
https://symcd.com,,DNSLookupError,
https://mtalk.google.com,,Other,<twisted.python.failure.Failure twisted.web._newclient.ResponseFailed: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]>
https://android.clients.google.com,404,HttpError,
https://clients2.google.com,404,HttpError,
https://ipv6.microsoft.com,,DNSLookupError,
https://crl.microsoft.com,400,HttpError,
https://2mdn.net,,DNSLookupError,
https://www.msn.com/,200,,
https://secure.netflix.com,404,HttpError,
https://officeapps.live.com,400,HttpError,
https://googletagservices.com,,DNSLookupError,
https://www.googletagservices.com,404,HttpError,
https://www.google.com/,200,,
https://www.google.com,200,,
https://apple-dns.net,,DNSLookupError,
https://www.instagram.com/,200,,
https://fe.apple-dns.net,,DNSLookupError,
https://www.apple.com/itunes/,200,,
https://clients3.google.com,200,,
https://s0.2mdn.net,404,HttpError,
https://www.doubleclickbygoogle.com/,200,,
https://www.google.com/analytics/tag-manager/,200,,
https://www.google.com/analytics/tag-manager/,200,,
https://ls.apple.com,,DNSLookupError,
https://translate.googleapis.com,404,HttpError,
http://try.crashlytics.com,200,,
https://v10.vortex-win.data.microsoft.com,404,HttpError,
https://scontent.xx.fbcdn.net,204,,
https://edge-mqtt.facebook.com,,Other,<twisted.python.failure.Failure twisted.web._newclient.ResponseNeverReceived: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion.>]>
https://www.skype.com/en/,200,,
https://update.microsoft.com/windowsupdate/v6/default.aspx,200,,
https://developers.google.com/speed/libraries/,200,,
https://rubiconproject.com,200,,
https://www.digicert.com/,200,,
https://dns-test1.hola.org,,TimeoutError,
